data,method,target_coverage,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
xray-airspace,RS,0.1,"[130, 723]",69.0,92.0,-0.1420764923095703,1.0,2.0,0.011961442640265108,0.20979665800707867,0.954533678460565,-0.39923245113047584,0.42315533641100606
xray-airspace,RS,0.2,"[228, 625]",105.0,76.0,0.0265085697174072,1.0,2.0,0.3149148589031452,0.1770483253163624,0.07528988323222933,-0.03209348224005615,0.6619232000463465
xray-airspace,RS,0.3,"[302, 551]",67.0,136.0,0.2090739011764526,1.0,2.0,-0.18088936268135147,0.263897637944772,0.4930582645422267,-0.6981192286582953,0.3363405032955924
xray-airspace,RS,0.4,"[375, 478]",61.0,326.0,0.349076896905899,1.0,2.0,-0.2239446638487882,0.1737182993382024,0.19735451103167645,-0.5644262740072132,0.11653694630963685
xray-airspace,RS,0.5,"[467, 386]",141.0,317.0,0.3857920169830322,1.0,2.0,-0.07165050640789772,0.11021392114722234,0.5156250725051821,-0.28766582245139094,0.1443648096355955
xray-airspace,RS,0.6,"[550, 303]",211.0,265.0,0.4080593287944793,1.0,2.0,0.04741281254656515,0.11545217103455177,0.6813140863882039,-0.17886928461811474,0.27369490971124505
xray-airspace,RS,0.7,"[631, 222]",283.0,200.0,0.4298747181892395,1.0,2.0,0.07665111507211797,0.10998239523222093,0.4858404316474837,-0.1389104185164848,0.2922126486607207
xray-airspace,RS,0.8,"[700, 153]",297.0,134.0,0.4526876509189605,1.0,2.0,-0.08055882562377747,0.12053365491649741,0.5039093707236486,-0.3168004481850916,0.15568279693753667
xray-airspace,RS,0.9,"[769, 84]",317.0,78.0,0.4824935495853424,1.0,2.0,0.04855498088349097,0.14401152420464874,0.7359959991527321,-0.23370241991633883,0.3308123816833208
xray-airspace,CC,0.1,"[142, 711]",49.0,36.0,-0.0084655284881591,1.0,2.0,0.3900661296566479,0.32249299067118375,0.22645788473767692,-0.2420085173254839,1.0221407766387798
xray-airspace,CC,0.2,"[218, 635]",45.0,60.0,0.0328242182731628,1.0,2.0,0.5340514664800772,0.2985634355501665,0.07365717985552268,-0.05112211429879476,1.1192250472589491
xray-airspace,CC,0.3,"[298, 555]",80.0,66.0,0.0587040185928344,1.0,2.0,-0.3368648372111237,0.20045871642151292,0.0928659278015488,-0.7297567017844169,0.056027027362169524
xray-airspace,CC,0.4,"[365, 488]",125.0,102.0,0.0843329429626464,1.0,2.0,-0.2744861403997132,0.17176957598152903,0.11004510458084536,-0.6111483229632264,0.062176042163800016
xray-airspace,CC,0.5,"[438, 415]",103.0,102.0,0.1155322790145874,1.0,2.0,0.18415983889420584,0.1781164388245269,0.30116912705077403,-0.16494196625639868,0.5332616440448104
xray-airspace,CC,0.6,"[526, 327]",135.0,104.0,0.1535077095031738,1.0,2.0,-0.02549902852276653,0.1717585209318004,0.8819808610027278,-0.3621395435869643,0.31114148654143126
xray-airspace,CC,0.7,"[580, 273]",107.0,108.0,0.1882385611534118,1.0,2.0,0.05680815905473735,0.17705662462586602,0.7483260308303712,-0.29021644843618766,0.40383276654566236
xray-airspace,CC,0.8,"[672, 181]",57.0,64.0,0.2369199991226196,1.0,2.0,0.2956011680134779,0.27384881730647753,0.280395206044981,-0.24113265111610716,0.832334987143063
xray-airspace,CC,0.9,"[748, 105]",74.0,54.0,0.2775331735610962,1.0,2.0,0.34152935972364507,0.2680327227484198,0.2025898163303751,-0.1838051235414675,0.8668638429887576
xray-airspace,DT,0.1,"[64, 789]",50.0,93.0,0.82864445,1.0,2.0,-0.05293811852485686,0.2573504228663524,0.8370218086145582,-0.5573356787490608,0.45145944169934704
xray-airspace,DT,0.2,"[135, 718]",86.0,121.0,0.84120196,1.0,2.0,-0.042210619079838585,0.17161357358500534,0.8057107405906648,-0.37856704256466345,0.2941458044049863
xray-airspace,DT,0.3,"[217, 636]",148.0,166.0,0.85257757,1.0,2.0,-0.01726680462723995,0.1501308424087915,0.9084358418891977,-0.31151784871712984,0.27698423946264994
xray-airspace,DT,0.4,"[304, 549]",105.0,104.0,0.8638274,1.0,2.0,0.20720682272730206,0.17849480611497087,0.24570033711153094,-0.14263656868550068,0.5570502141401048
xray-airspace,DT,0.5,"[391, 462]",195.0,166.0,0.8762124,1.0,2.0,-0.052636697994777215,0.14053803633130177,0.7080048159275958,-0.3280861876621103,0.22281279167255585
